text,translations,audioURL,isNew
どうですか,"[""how are things"", ""why don't"", ""how is"", ""how have you been"", ""how's"", ""what if"", ""how are"", ""why not"", ""liking""]",https://d1vq87e9lcf771.cloudfront.net/beaja/fd1dc9704c30472348f4f7933aec2871,False
おみやげ,"[""souvenir""]",https://d1vq87e9lcf771.cloudfront.net/beaja/93a87938d4c420a8baf8f66a0078af60,False
おかし,"[""snack""]",https://d1vq87e9lcf771.cloudfront.net/beaja/f9cb0ef7179b549098f66851459cd4ff,False
ポストカード,"[""postcard""]",https://d1vq87e9lcf771.cloudfront.net/beaja/d02c1395ded9c79b9cd2730ef69bbad4,False
ふじさん,"[""Mt. Fuji""]",https://d1vq87e9lcf771.cloudfront.net/beaja/48c6fb0dfacb1154ab73304e0d4ed36b,False
高い,"[""tall""]",https://d1vq87e9lcf771.cloudfront.net/beaja/6ce73cca720195ea925e2cac15eb04ed,False
山,"[""mountain"", ""mount"", ""mountains"", ""piles""]",https://d1vq87e9lcf771.cloudfront.net/beaja/f2edd9afa389bcf78941560e59f98fdf,False
じんじゃ,"[""shrine""]",https://d1vq87e9lcf771.cloudfront.net/beaja/1d6d88ef135a25cb9763dea425b82d8d,False
ラーメンや,"[""ramen shop""]",https://d1vq87e9lcf771.cloudfront.net/beaja/0ad8c5f97afc6dd3005a1062e0df316c,False
ピザや,"[""pizza shop""]",https://d1vq87e9lcf771.cloudfront.net/beaja/2327946a175dbc6587f6d7953f7200e8,False
はらじゅく,"[""Harajuku""]",https://d1vq87e9lcf771.cloudfront.net/beaja/edf395f3dc20d82b35f7585e0217da46,False
デザート,"[""dessert""]",https://d1vq87e9lcf771.cloudfront.net/beaja/526ed6a2f10b39269cd2fab69bb24277,False
あれ,"[""hey"", ""that (one) (over there)"", ""what"", ""that""]",https://d1vq87e9lcf771.cloudfront.net/beaja/9eadd4cd9ecc1cfb4ab35f7efa8d3357,False
何ですか,"[""what (is)"", ""what are"", ""what's""]",https://d1vq87e9lcf771.cloudfront.net/beaja/681a31968f733d53af49889f5a0dd7e3,False
おてら,"[""temple""]",https://d1vq87e9lcf771.cloudfront.net/beaja/dcdf4697d455e86b1bcbbaf75558f0de,False
たてもの,"[""building""]",https://d1vq87e9lcf771.cloudfront.net/beaja/602ae5d122dc8c2127e03a67a07e6e97,False
な,"[""do not"", ""(adjective ending)"", ""don't"", ""without"", ""(added emotion)"", ""name""]",https://d1vq87e9lcf771.cloudfront.net/beaja/8ce95b9e94910d182222cc96a4fc9c57,False
ところ,"[""place""]",https://d1vq87e9lcf771.cloudfront.net/beaja/e8c420271de41efa62cdbd3a1ea5becb,False
ほんとうに,"[""really"", ""truly""]",https://d1vq87e9lcf771.cloudfront.net/beaja/f1fbb654d34c33bc554fe82e40900887,False
ながい,"[""long""]",https://d1vq87e9lcf771.cloudfront.net/beaja/d3759f303e01783f9689f6fd5f7f2312,False
しゅうてん,"[""final stop""]",https://d1vq87e9lcf771.cloudfront.net/beaja/a75d3ca2decbb323f71e0602d5b0e8e6,False
時間,"[""time"", ""hour"", ""hours""]",https://d1vq87e9lcf771.cloudfront.net/beaja/7874b8c40304eb4f44203211560861fd,False
分,"[""minute"", ""minutes""]",https://d1vq87e9lcf771.cloudfront.net/beaja/b1f2bfacb8ad8669b637780b09fbbfcc,False
ぐらい,"[""about""]",https://d1vq87e9lcf771.cloudfront.net/beaja/ccf310d79a1525cc980c81669dd72690,False
かかります,"[""take"", ""(it) takes"", ""(it) will take"", ""it'll take"", ""takes""]",https://d1vq87e9lcf771.cloudfront.net/beaja/5c1b53809abc677ff76a2ec9054ec3f2,False
はやい,"[""fast""]",https://d1vq87e9lcf771.cloudfront.net/beaja/4ff764fd8e36750cb3d28c350e998fb5,False
