prompt,timestamp,skillId,challengeIdentifier,courseId,inInboxSinceTimestamp,inboxResolvedCount,learningResolvedCount,levelIndex,maxAIAnnotatedSolution,maxAIChallengePrompt,maxAICorrectResponse,maxAIUserResponse,mispronouncedWords,solutionTranslation,targetLanguage,userId
つぎのえきは東京えきですか。,1769705065930,06448b3f5f95ec2b1d0ee64ee3a0a10a,"{""generatorId"": ""cb74fbe5ca45b61d7f86512089ad0598"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1769705065930,0,0,0,,,,,,,en,1519668220
このでんしゃは京都とおおさかに行きます。,1769681885338,06448b3f5f95ec2b1d0ee64ee3a0a10a,"{""generatorId"": ""76b6aad8aa9997561746bb264019fec7"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1769681885338,0,0,0,,,,,,,en,1519668220
このおちゃはすこし小さいですね。,1769588053452,,"{""generatorId"": ""b20f444ec601dbd6f75f96f48022c21c"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1769588053452,0,0,,,,,,,,en,1519668220
うどんていしょくをひとつください。,1769583330025,98ff741c812be38cf7c64e7dc03785b2,"{""generatorId"": ""7a3ee306d7fb8dfba579cf31e758bd80"", ""specificType"": ""listen_tap""}",DUOLINGO_JA_EN,1769583330025,0,0,0,,,,,,"One udon meal set, please.",,1519668220
まだ古いせんたくきがあります。,1769525514757,98ff741c812be38cf7c64e7dc03785b2,"{""generatorId"": ""2cc7e1c6596b2d30284ebcff6e7b732b"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1769525514757,0,0,0,,,,,,,en,1519668220
この大きいほんだなはいいですね。,1769411104865,98ff741c812be38cf7c64e7dc03785b2,"{""generatorId"": ""de2704579de0741ba208e5be660c5411"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1769411104865,0,0,0,,,,,,,en,1519668220
たかいそうじきがあります。,1769411104864,98ff741c812be38cf7c64e7dc03785b2,"{""generatorId"": ""9dc2af04b57e2a7267eb54ca7f926b01"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1769411104864,0,0,0,,,,,,,en,1519668220
しゅうまつはれんあいゲームをします。,1769369392477,,"{""generatorId"": ""4e3e5b7f1fdc578cf9d64bedec0225f1"", ""specificType"": ""listen_tap""}",DUOLINGO_JA_EN,1769369392477,0,0,,,,,,,"On weekends, I play romance video games.",,1519668220
KポップとJポップがすきです。,1769369072943,,"{""generatorId"": ""6e2f177f5df48aaec2b5b979f34d66b0"", ""specificType"": ""listen_tap""}",DUOLINGO_JA_EN,1769369072943,0,0,,,,,,,I like K-pop and J-pop.,,1519668220
"Hana, do you have any hobbies?",1769353983831,fc0dca985cc9ac0cbb149f0a1044cae2,"{""generatorId"": ""22d9164f4e88c7a78528c9844d1e95c6"", ""specificType"": ""reverse_tap""}",DUOLINGO_JA_EN,1769353983831,0,0,0,,,,,,,ja,1519668220
