text,translations
ながい,long
しゅうてん,final stop
時間,time; hour; hours
分,minute; minutes
ぐらい,about
かかります,take; (it) takes; (it) will take; it'll take; takes
はやい,fast
十分,sufficient; enough; adequate; ten minutes
どの,any; each; which; what; every; how long
もうすぐ,soon; almost; shortly
あさくさ,Asakusa
うえのこうえん,Ueno Park
来ます,will be here; will come; is coming; comes; come; are coming; coming
つぎの,next
つぎ,next
よこはま,Yokohama
バス,bus
あきはばら,Akihabara
しぶや,Shibuya
行きます,am going; are going; go; (will) go; going; is going; goes; (I) go; am going to go; I'm going; will be there
でんしゃ,train
こんしゅう,this week
いつ,when; what time
つくえ,desk
せんたくき,washing machine
れいぞうこ,fridge
いす,chair; chairs
テーブル,table; tables
でんしレンジ,microwave
ふとん,futon; futons
たぶん,probably
ほんだな,bookshelf
シャワー,shower; showers
そうじき,vacuum cleaner
エアコン,air conditioning; air conditioners; air conditioner; conditioners
ベッド,bed; beds
せまい,cramped
リビング,living room
キッチン,kitchen
があります,is; there is; there are; are; has; there's; have
アパート,apartment building; apartment; apartments
ひっこします,am going to move; is going to move; move
まだ,still; yet; too
ひろい,spacious
いえ,house
れんあい,romance
コメディ,comedy
ほんとうですか,Really?
アクション,action
アメリカの,... of the US; American; ... of the United States
どんな,any; what kind of; what (sort of); what (type of); how; what
ファンタジー,fantasy
ホラー,horror
がすきですか,do you like
しゅみはありますか,do you have a hobby
ミステリー,mystery
Kポップ,K-pop
日本の,Japan's; of Japan; Japanese
がすきです,like
ベトナム,Vietnam
かんこく,Korea; korean
かのじょ,she; girlfriend; her
ちゅうごく,China
さんは,Mr./Ms.
かれし,boyfriend
アンドリュー,Andrew
と言います,tell; say; says; is named; is called; my name is; tells
エリカ,Erica; Erika
言います,tell; tells; say; says; insist
こちら,this; these; (over) here; this way
ダニエル,Daniel
はしります,runs; run
飲みます,will have; drink; having; drinks; am going to drink; have; will drink; take
パスタ,pasta
ねます,sleep; go to sleep; will go to sleep; am going to sleep
シャワーをあびます,take a shower
メールを読みます,check emails
あした,tomorrow
らいしゅう,next week
バレーボール,volleyball
まいしゅう,every week
四時,four o'clock
つくります,make
食べます,eat; am going to eat; will eat; eats; (will) have; has; are going to eat
何時に,(at) what time
おきます,get up; going to wake up; wake up; wakes up; ahead of time; puts; (will) put; in advance; going to get up
新聞,newspaper
ラジオ,radio
何時,when; what time
いつも,always; all the time; never; usual
でぐち,exit
じはんき,vending machines; vending machine
コインロッカー,storage lockers
ちかい,close
カフェ,cafe
にかい,the second floor; two
かいだん,stairs
コンセント,outlet
とおい,far
でんわ,phone
ちか,underground level
タクシー,taxi
エレベーター,elevator
おてあらい,restroom
wifi,wifi
ありません,there are no; (it) is not; has nothing; is not available; there is not a; has no; am not; has neither; doesn't have; is not; are not; is missing; does not have; do not have; there is no; missing; have no; are
ゴミばこ,trash can
のりかえ,transfer
あそこ,over there
かいさつ,ticket gate
ありますか,is (there); is (it); are (there); ... is ... ?; do ... have; does ... have; Is there ... ?
いっかい,first floor
ホーム,platform
どうが,video
じゅうどう,judo
テニス,tennis
話します,speaks; speak; tells; talks; talk; tell
日曜日,Sunday
ゲーム,video games
からて,karate
でかけます,go out; am going to go out
土曜日,Saturday; Saturdays
買います,will buy
スポーツ,sports
ヨガ,yoga
ともだち,friend; friends
ドラマ,drama
あそびます,hang out; hangs out; (I) will play; play; plays; will hang out
およぎます,swim; will swim; swims; am going to swim
しゅうまつ,weekend
ひとりで,by myself; by herself; alone; by himself; on my own
アイスコーヒー,iced coffee
アイスクリーム,ice cream; ice creams
こうちゃ,black teas; black tea; tea
小さい,small; little
すこし,a bit
みそしる,miso soup
サラダ,salad; salads
そば,soba
大きい,big
おにぎり,rice balls; rice ball; onigiri
よっつ,four
ええと,um
みっつ,three
じゃあ,well then; well; see you; so; bye; okay then
ふたつ,two
あ,ah; oh
ひとつ,one
水,water; waters
レストラン,restaurant
ていしょく,meal set; meal sets
うどん,udon
てんぷら,tempura
ジャケット,jacket
たかい,expensive; big; tall
くろい,black
みせ,store
ありがとうございます,thank you
千,thousand
いくら,how much
ネクタイ,tie; necktie; ties
えん,yen
やすい,cheap; inexpensive
百,hundred
あの,those; ah; that (over there); um; those (over there); that
あおい,blue
いい,good; like; well; do you want; may I; fine; alright; prefer; hope; best; okay; nice
ドレス,dress
すてき,lovely; nice; cute
がほしいです,want
スカート,skirt
Tシャツ,t-shirt
新しい,new; newer
ね,isn't it?
ふく,clothes
ダサい,hideous
はちょっと,I don't really like; doesn't work very well; kind of
さいふ,wallet
古い,old
ばんごはん,dinner
まいばん,every night
九時,nine o'clock
半,thirty
八,eight
べんとう,boxed lunch
ひるごはん,lunch
十二,twelve
十,ten
十一,eleven
あさごはん,breakfast
七時,seven o'clock
時,o'clock
コーヒー,coffee
まいあさ,every morning
のみます,drink; drinks; (will) drink; take
ジュース,juice
まいにち,every day
パン,bread
サンドイッチ,sandwich
たべます,eat; eats
Jポップ,J-pop
まんが,manga
アニメ,anime
やきゅう,baseball
ざっし,magazines
本,books
読みます,read; will read; reads; going to read
ニュース,news
おんがく,music
ロック,rock
ききます,listen; listens; ask
ジャズ,jazz
サッカー,soccer
ときどき,sometimes
します,makes; are doing; make; feel; wears; am going to do; would do; play; having; will (have); plays; do; does; have; I'm doing; am going to play; give; going to have; doing
バスケットボール,basketball
を,through; with; for; upon; along; at; on; about; to; of; (object marker); from; in
よく,often
えいが,movies
テレビ,TV
見ます,watch; will watch; watches; looks at; look at; see; look; sees; (I) watch
おっと,my husband
七,7; seven; seventh
あたまがいい,smart
むすこ,my son
おしゃれ,fashionable; stylish; well-dressed
むすめ,my daughter
六,six
つま,my wife
だいがくせい,college student
ゆうめい,famous
かんごし,nurse
おとうと,my younger brother
うるさい,noisy
五,5; five
あに,my older brother
かいしゃいん,office worker
あね,my older sister
四,four
いもうと,my younger sister
さい,years old
いそがしい,busy
エンジニア,engineer
父,dad
かぞく,family
母,mom; mother; my mom
まち,town; wait; city; district; towns
とても,very
きれい,clean
しずか,quiet
トロント,Toronto
にぎやか,lively
とし,years; cities; city; year
どう,how (about); what; how
日本,Japan; Japanese
おおさか,Osaka
京都,Kyoto
にすんでいます,is living
ニューヨーク,New York
も,even; any; also; as well; some; as many as; neither ... nor; both ... and; again; too; or; still; and; whole; either
しゅっしん,from; origin; hometown; home country
東京,Tokyo
私,I
ようこそ,welcome
おはようございます,good morning
はじめまして,nice to meet you; how do you do
おなまえは,what's your name
かばん,bag
中山,Nakayama
田中,Tanaka
山口,Yamaguchi
パスポート,passport
の,for; 's; one; of; s'; ’s
スマホ,smartphone
ちず,map
きっぷ,ticket
じゃないです,is not; we're not; aren't; he's not; she's not; I'm not; it's not; I am not; isn't; won't
ちかてつ,subway
くうこう,airport
はん,thirty
すみません,excuse me
ごろ,around; about
いま,now; current
一,one; an; a; first; 1
二,two; 2
なんじ,what time
三,3; three; third
じ,o'clock
に,to; in; as (a); through; made; with; inside; atop; onto; make; for; upon; let; within; (out) of; two; among; as; per; into; as (an); at; on; over; about; of; against; during; from; by
いち,one; an
やまぐち,Yamaguchi
おもしろい,interesting; fun; funny
その,the; that; its; those
かわいい,cuter; cute; pretty; sweet
あかるい,bright; cheerful; well-lit
たなか,Tanaka
この,this; these
なかやま,Nakayama
それら,they; them; those
これら,these
くつ,shoes; shoe
しろい,white
コート,coat
あかい,red
わたしの,my; mine
かさ,umbrella; umbrellas
ぼうし,hat; hats
そこ,there
だいがく,university; college
えき,station; train station; stations; train stations
デパート,department store
ここ,here
バスてい,bus stop
ホテル,hotel
コンビニ,convenience store
どこ,where
ブラジルじん,Brazilian
イギリスじん,British
ブラジル,Brazil
イギリス,Britain; the United Kingdom; British; the UK
にほんじん,Japanese
カナダ,Canada
アメリカじん,American
カナダじん,Canadian
アメリカ,America; the USA; the US; American; the United States
ちいさい,small; little
にほん,Japan
おおきい,big; large
か,or; is it?; that; if; what; whether
いいえ,no
はい,yes
